"State","Population","Area","Children","Age","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","Response","Fix","Replacement","Reliability","Options","Respectful","Courteous","Listening"
"NC",46589,"Rural",1,51,48969.64,"Never Married","Female","Yes",9.289829,11,0,0,"Yes","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","No","No","No","No","Yes","No","Mailed Check",15.2198,147.4421,1429.845787,5,5,5,3,3,3,3,1
"TX",7362,"Suburban",0,39,16680.61,"Divorced","Female","Yes",4.06556,10,1,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Bank Transfer(automatic)",2.199825,182.4653,518.7305953,3,2,2,4,3,3,3,4
"CA",337,"Rural",3,78,41305.01,"Separated","Female","Yes",10.98554,12,1,0,"No","Month-to-month","Yes","No","None","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Bank Transfer(automatic)",9.026366,182.49,1146.502548,1,2,2,5,2,4,4,4
"MT",7186,"Rural",3,38,68024.79,"Separated","Female","Yes",6.654657,14,0,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Bank Transfer(automatic)",4.243723,232.6415,1021.747631,4,4,3,2,5,3,3,4
"NV",40,"Suburban",1,59,11132.31,"Widowed","Male","Yes",6.652103,10,2,0,"Yes","Month-to-month","No","No","DSL","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Credit Card (automatic)",9.328119,194.9663,1667.732624,3,3,3,3,3,3,4,1
"FL",44249,"Urban",5,38,18437.44,"Never Married","Male","No",9.653367,16,1,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Electronic Check",25.68869,174.9755,2790.931185,4,5,4,3,3,5,4,3
"NY",16649,"Rural",1,37,22641.64,"Never Married","Male","Yes",8.90737,11,0,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Mailed Check",1.13143,207.4811,730.8534585,4,4,4,3,4,4,3,4
"WV",1319,"Suburban",0,54,5676.28,"Divorced","Female","Yes",7.427575,12,1,0,"Yes","One year","Yes","No","Fiber Optic","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Mailed Check",2.945436,265.1283,922.2317794,4,4,4,4,3,3,4,3
"WI",10692,"Urban",2,25,34476.83,"Married","Female","No",13.64111,13,0,0,"No","One year","Yes","Yes","None","Yes","Yes","No","No","No","No","Yes","No","No","Electronic Check",6.128314,137.4684,909.0225293,4,4,3,5,2,3,5,6
"NJ",12404,"Urban",1,55,33541.35,"Married","Male","No",8.884712,10,2,1,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Credit Card (automatic)",11.16116,192.4885,1262.191241,3,3,4,2,3,3,2,3
"IA",152,"Suburban",3,64,23584.78,"Widowed","Female","No",7.88571,9,1,1,"No","Two Year","No","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Bank Transfer(automatic)",23.22012,199.9902,2884.562817,3,4,4,4,5,4,5,4
"PA",16350,"Suburban",1,24,24700.6,"Married","Nonbinary","No",6.162241,12,0,0,"No","Two Year","No","No","Fiber Optic","Yes","No","Yes","No","No","Yes","Yes","No","No","Mailed Check",11.84082,152.466,1318.102379,6,7,7,3,4,4,4,4
"AL",3519,"Urban",1,64,46273.12,"Divorced","Male","Yes",12.10772,11,0,0,"No","One year","Yes","No","DSL","Yes","No","Yes","No","No","Yes","Yes","No","No","Electronic Check",12.22942,132.466,1718.405985,3,4,4,5,3,3,3,3
"MS",3988,"Urban",1,27,34162.04,"Widowed","Female","No",5.57327,10,0,1,"No","Two Year","No","No","Fiber Optic","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Credit Card (automatic)",8.295192,230.1051,1332.732935,4,4,4,3,4,2,3,4
"NY",1419,"Urban",0,60,66664.82,"Divorced","Male","Yes",3.27964,13,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",11.38275,267.6647,1636.428296,3,4,3,5,2,5,4,3
"IL",748,"Suburban",1,77,40411.35,"Separated","Male","Yes",3.059459,12,0,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Electronic Check",6.780515,222.65,1158.10468,4,5,4,2,3,4,4,4
"NC",49019,"Suburban",1,53,105396.3,"Separated","Male","Yes",14.48109,11,0,0,"No","One year","Yes","No","Fiber Optic","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Mailed Check",9.151288,242.6143,1369.012136,3,3,4,4,3,3,2,5
"AR",1831,"Rural",2,21,32423.61,"Separated","Male","No",12.7185,17,1,0,"No","Two Year","Yes","No","DSL","Yes","Yes","Yes","No","No","No","No","Yes","No","Electronic Check",10.44767,162.4653,1810.906541,3,3,4,4,2,4,2,4
"VA",4993,"Suburban",1,21,9534.08,"Divorced","Female","No",5.737969,12,2,1,"Yes","One year","Yes","Yes","Fiber Optic","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Credit Card (automatic)",3.122125,149.9915,631.6069096,2,1,1,3,3,2,3,1
"TN",3895,"Urban",0,46,31249.18,"Separated","Male","Yes",5.959998,19,0,0,"No","Month-to-month","Yes","No","None","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Credit Card (automatic)",18.55263,232.652,2274.334534,5,5,5,3,2,4,5,4
"NY",151,"Suburban",1,83,17993.91,"Divorced","Male","No",13.45991,15,1,0,"No","One year","No","Yes","DSL","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Bank Transfer(automatic)",23.99384,172.4567,2615.909854,2,2,2,4,2,4,4,4
"WA",1131,"Rural",2,33,25776.46,"Separated","Male","Yes",9.79011,8,1,0,"No","Month-to-month","No","Yes","DSL","Yes","Yes","No","Yes","No","No","No","Yes","No","Credit Card (automatic)",8.100668,182.4433,1598.041286,3,3,3,4,3,3,3,3
"PA",8112,"Rural",0,87,18914.81,"Married","Male","No",9.22053,14,3,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","Yes","No","No","No","No","No","Yes","Credit Card (automatic)",18.47356,127.4783,2030.890872,4,5,3,3,3,4,4,4
"TX",973,"Suburban",0,36,63735.08,"Separated","Female","No",8.63279,9,0,2,"No","One year","No","No","None","Yes","No","Yes","No","Yes","No","Yes","No","No","Mailed Check",14.62117,120.0035,1595.672481,3,2,2,3,5,3,3,3
"TN",4906,"Rural",4,89,27485.23,"Widowed","Male","No",6.257899,18,1,1,"No","Two Year","No","Yes","Fiber Optic","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Credit Card (automatic)",14.36866,184.967,1594.517874,4,5,5,2,4,5,5,3
"GA",1193,"Urban",10,78,29765.16,"Divorced","Female","No",9.662081,12,1,1,"No","Month-to-month","Yes","Yes","DSL","Yes","No","Yes","No","No","Yes","Yes","No","No","Credit Card (automatic)",4.761845,132.466,1290.636519,5,4,3,4,3,5,4,5
"MN",916,"Rural",1,49,38764.7,"Divorced","Female","No",8.73353,9,1,1,"No","Two Year","Yes","No","None","Yes","No","No","Yes","No","No","No","No","Yes","Electronic Check",6.487048,102.4746,655.1704765,2,2,3,5,1,4,4,3
"PA",131,"Urban",3,82,131511.8,"Widowed","Male","Yes",9.457995,7,0,1,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Electronic Check",13.47613,172.4885,1838.415776,3,3,3,4,3,3,5,3
"NE",7,"Rural",0,19,16764.77,"Separated","Female","No",15.71715,15,3,0,"Yes","One year","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","No","No","No","Mailed Check",6.853152,149.9741,1313.391104,5,4,5,3,6,3,4,3
"WV",648,"Rural",4,34,17263.54,"Widowed","Male","Yes",4.945596,14,0,1,"No","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",2.213342,265.147,1018.286618,4,4,2,3,5,2,2,4
"GA",34305,"Urban",2,76,61325.92,"Separated","Female","Yes",10.5802,12,1,0,"No","Two Year","No","No","DSL","No","No","No","No","No","No","Yes","No","Yes","Mailed Check",5.954975,117.4392,1069.152457,3,4,3,3,3,4,3,3
"AL",7415,"Urban",0,36,108914.2,"Widowed","Male","No",12.10189,13,1,0,"Yes","One year","No","Yes","Fiber Optic","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Electronic Check",8.081086,242.6281,1387.096942,4,4,4,2,4,4,4,3
"PA",10911,"Urban",2,56,71588.69,"Never Married","Female","Yes",12.47126,6,0,1,"Yes","Two Year","No","No","Fiber Optic","No","No","Yes","No","No","No","Yes","Yes","Yes","Bank Transfer(automatic)",7.874579,210.127,1215.186143,4,4,3,5,3,4,3,5
"TX",33960,"Rural",3,50,47120.5,"Separated","Female","No",12.24189,21,2,0,"No","One year","No","No","Fiber Optic","Yes","No","No","No","Yes","No","No","No","Yes","Credit Card (automatic)",11.70115,124.9781,1131.849487,5,4,5,2,4,2,3,3
"CO",11342,"Urban",2,57,30535.24,"Widowed","Male","No",10.15032,12,1,0,"No","Month-to-month","No","Yes","None","Yes","Yes","No","No","No","Yes","No","No","Yes","Electronic Check",14.7867,124.9935,1404.351494,4,4,4,4,3,4,4,4
"NE",217,"Suburban",0,34,10092.3,"Divorced","Female","Yes",8.528837,12,0,0,"No","Month-to-month","No","No","None","No","No","Yes","No","No","Yes","Yes","No","Yes","Electronic Check",11.71559,119.9897,1283.330518,3,3,3,4,3,4,4,3
"CA",21572,"Rural",1,34,29321.34,"Widowed","Female","Yes",11.6262,15,0,0,"No","Two Year","No","Yes","Fiber Optic","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Mailed Check",4.995373,265.1283,1186.556596,6,5,6,3,4,4,3,4
"NC",24780,"Suburban",2,40,152131.7,"Divorced","Female","Yes",8.383382,9,2,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Electronic Check",18.7404,162.4689,1864.692477,5,5,5,3,2,5,5,6
"VT",77,"Rural",1,74,26735.83,"Widowed","Male","No",9.610448,10,1,3,"Yes","One year","Yes","No","Fiber Optic","Yes","No","No","No","Yes","Yes","No","No","No","Electronic Check",14.06379,137.4872,1271.791514,5,3,5,4,5,2,3,3
"TX",25607,"Suburban",0,50,17442.95,"Divorced","Male","Yes",6.80751,11,0,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Electronic Check",4.845811,222.65,1057.31768,2,3,2,3,3,3,4,4
"IA",3525,"Rural",4,49,146951.6,"Widowed","Female","No",7.831413,13,1,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","Yes","No","Yes","Yes","No","No","Credit Card (automatic)",14.37481,172.4441,1593.966861,4,4,3,3,4,3,3,3
"MO",3867,"Suburban",0,18,38793.75,"Widowed","Female","Yes",11.31573,8,1,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Electronic Check",15.33274,232.6228,1983.300598,3,4,3,4,4,5,3,4
"IN",2467,"Rural",2,20,37555.8,"Divorced","Female","Yes",5.561109,11,3,0,"Yes","Month-to-month","No","No","DSL","Yes","Yes","No","No","No","No","Yes","Yes","No","Bank Transfer(automatic)",13.21554,220.1149,2181.086069,4,3,4,3,5,4,3,2
"NE",2983,"Suburban",3,61,68284.56,"Widowed","Male","No",6.101071,10,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","No","No","Yes","No","No","No","Mailed Check",8.0239,157.4698,867.8924387,4,4,4,3,3,5,4,4
"OK",6022,"Suburban",1,24,56243.26,"Separated","Female","Yes",9.983208,16,2,0,"No","One year","No","Yes","None","Yes","Yes","No","No","No","No","Yes","Yes","No","Electronic Check",3.600682,207.6386,935.8715835,2,2,2,2,5,1,2,2
"WI",823,"Suburban",2,55,22066.61,"Widowed","Female","Yes",6.458755,14,2,0,"No","Month-to-month","No","No","None","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",4.459993,222.6654,1014.955092,4,5,4,4,1,6,4,5
"PA",133,"Rural",7,45,56067.63,"Widowed","Male","Yes",10.12377,12,1,0,"No","Month-to-month","Yes","No","DSL","No","Yes","No","No","Yes","No","No","No","No","Electronic Check",14.40435,137.4836,2060.606368,4,3,3,4,3,5,4,2
"MA",14386,"Suburban",1,34,29044.8,"Married","Female","Yes",9.651896,14,0,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Electronic Check",4.300397,204.9797,752.2906635,3,4,4,3,3,5,4,2
"CA",589,"Suburban",7,21,63171.36,"Divorced","Female","No",12.77256,9,1,0,"No","Two Year","No","No","DSL","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Mailed Check",8.24734,162.4538,1667.506374,3,4,3,3,3,3,4,3
"MT",1539,"Rural",1,43,45989.68,"Married","Female","Yes",12.09619,13,0,1,"No","Two Year","Yes","No","DSL","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Electronic Check",16.56847,255.1336,2528.759994,3,2,5,5,2,2,4,3
"WV",487,"Rural",0,55,62894.22,"Divorced","Male","No",6.601125,11,1,0,"Yes","One year","Yes","No","DSL","Yes","No","No","No","No","No","No","No","Yes","Electronic Check",16.71459,92.45514,1844.526573,3,4,3,4,2,5,4,4
"IA",78,"Suburban",0,77,89957.16,"Separated","Male","No",10.32418,12,0,0,"No","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","No","No","No","No","Yes","No","Yes","Credit Card (automatic)",6.6307,169.9447,765.1823242,4,3,3,5,4,4,5,3
"CT",11173,"Suburban",4,70,18608.64,"Divorced","Male","No",7.364011,8,1,0,"No","Month-to-month","No","Yes","None","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Credit Card (automatic)",14.89363,107.5286,1520.458929,4,5,5,2,4,3,4,3
"AR",2103,"Rural",2,33,33504.33,"Divorced","Male","No",10.36695,16,2,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Electronic Check",10.76391,184.9647,1410.343155,4,4,3,4,4,3,5,2
"IN",499,"Rural",1,82,44312.5,"Widowed","Female","No",11.00923,12,0,0,"No","Two Year","No","No","Fiber Optic","Yes","No","No","No","No","No","No","Yes","No","Mailed Check",12.47148,147.4421,1103.016586,5,4,5,4,4,4,4,4
"IN",4242,"Suburban",4,42,29125.59,"Widowed","Female","No",13.03944,9,1,0,"No","One year","No","Yes","Fiber Optic","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Bank Transfer(automatic)",8.387102,174.9755,1282.323667,3,3,3,2,4,3,3,5
"NY",6297,"Rural",0,49,34797.6,"Never Married","Male","Yes",11.76312,9,1,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Mailed Check",12.89076,214.9663,1548.154792,4,3,3,3,5,3,1,3
"NY",2153,"Suburban",4,38,29090.38,"Divorced","Male","No",12.76686,10,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Bank Transfer(automatic)",21.25517,182.4608,2320.769374,3,3,3,3,4,4,3,4
"NM",38753,"Suburban",4,65,13925.38,"Widowed","Male","Yes",11.32795,11,0,0,"Yes","Month-to-month","No","No","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Electronic Check",7.467093,219.9902,1254.859385,4,4,4,2,4,3,4,3
"IN",5025,"Suburban",3,46,17549.51,"Separated","Male","No",6.838437,10,1,1,"No","Month-to-month","No","No","None","No","No","No","Yes","Yes","No","Yes","No","No","Electronic Check",13.09678,139.9816,1596.175795,2,2,2,4,3,1,2,3
"MI",2919,"Urban",3,45,19739.42,"Divorced","Male","Yes",9.995799,12,1,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","No","No","Yes","Yes","Yes","No","Electronic Check",10.74959,220.1185,1493.782205,3,4,5,4,4,3,4,4
"MO",694,"Suburban",1,64,36384.55,"Divorced","Female","No",8.967992,13,2,0,"Yes","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Mailed Check",5.585075,195.0062,768.7084381,3,2,4,4,3,3,4,1
"WA",9627,"Urban",0,29,36415.41,"Divorced","Female","Yes",5.620259,13,0,0,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Electronic Check",5.006746,164.9647,1221.36675,4,4,3,4,5,3,5,4
"SC",140,"Rural",0,24,29604.72,"Separated","Male","No",10.56558,12,1,2,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","No","Yes","Yes","No","No","Bank Transfer(automatic)",9.453234,182.4538,1174.54568,6,6,5,5,4,5,4,3
"TX",3052,"Urban",4,44,13029.09,"Widowed","Female","No",4.575379,9,1,0,"No","Two Year","No","No","DSL","No","Yes","Yes","Yes","No","No","Yes","No","No","Electronic Check",10.16511,174.9581,1821.752133,2,3,3,3,5,3,2,3
"NC",2778,"Rural",0,30,39940.05,"Separated","Male","No",10.06356,10,1,1,"No","One year","No","No","DSL","Yes","Yes","No","Yes","No","No","No","No","Yes","Bank Transfer(automatic)",1.717806,147.4564,863.6296514,4,3,4,3,5,3,2,4
"IN",14673,"Suburban",1,78,34293.99,"Widowed","Female","No",8.327232,15,1,0,"No","Two Year","Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Electronic Check",2.224742,177.4876,948.6927365,4,5,4,3,3,3,3,4
"ID",1012,"Urban",0,56,98436.93,"Never Married","Male","Yes",11.2239,8,1,0,"Yes","Month-to-month","No","No","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Bank Transfer(automatic)",4.847252,219.9902,946.5642973,1,2,3,3,2,4,2,3
"OH",3492,"Rural",1,77,23241.01,"Separated","Female","No",12.80332,9,0,1,"No","One year","Yes","No","DSL","No","Yes","No","Yes","Yes","No","No","Yes","No","Mailed Check",1.200249,194.9663,860.4509841,2,2,2,3,4,2,3,2
"MN",1843,"Rural",4,63,10192.04,"Married","Male","No",8.601513,20,2,0,"No","Month-to-month","No","No","Fiber Optic","Yes","Yes","No","No","Yes","No","No","No","No","Credit Card (automatic)",22.38582,157.4836,2149.727449,4,5,4,3,3,3,3,2
"NC",55,"Suburban",4,39,23502.47,"Separated","Male","No",10.65341,11,0,1,"No","Month-to-month","Yes","Yes","None","Yes","No","Yes","No","No","No","No","Yes","Yes","Bank Transfer(automatic)",4.278907,117.4835,822.5599233,2,2,1,3,4,2,2,2
"NC",1547,"Urban",2,83,33172.33,"Separated","Female","No",12.47288,13,3,0,"No","One year","No","No","Fiber Optic","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Bank Transfer(automatic)",4.799511,174.9755,792.3707277,3,4,4,4,2,4,4,2
"MI",40041,"Rural",2,74,50656.38,"Separated","Male","No",14.37122,10,0,1,"No","One year","Yes","No","None","Yes","Yes","No","No","Yes","No","No","No","Yes","Electronic Check",25.11299,125.0073,2275.551071,3,3,3,4,4,4,3,4
"ME",6274,"Rural",0,23,15240.37,"Married","Male","No",9.742724,8,1,1,"Yes","Month-to-month","No","Yes","Fiber Optic","Yes","No","No","No","Yes","No","No","No","No","Credit Card (automatic)",7.773669,124.9781,888.4950848,4,3,4,3,4,3,5,4
"KS",26238,"Urban",4,44,33035.98,"Married","Female","No",5.881182,11,2,0,"No","Two Year","No","No","DSL","Yes","No","Yes","Yes","No","No","No","No","No","Bank Transfer(automatic)",10.41798,117.4686,1574.707587,5,4,4,5,4,5,4,5
"IL",2387,"Suburban",2,51,20697.37,"Never Married","Female","No",11.27574,13,2,1,"No","Month-to-month","Yes","No","None","Yes","No","Yes","No","No","No","Yes","No","No","Electronic Check",9.561875,107.4806,1108.368947,3,2,3,2,3,3,5,4
"TX",450,"Suburban",7,46,26019.32,"Separated","Female","No",12.25489,13,3,0,"No","Month-to-month","No","No","DSL","Yes","No","No","Yes","No","Yes","No","No","No","Electronic Check",11.16749,127.4601,1651.037252,3,3,3,3,4,4,3,1
"NE",1126,"Suburban",1,22,25877.54,"Widowed","Male","No",8.018422,9,3,0,"Yes","Two Year","No","Yes","DSL","Yes","Yes","No","No","No","No","No","No","Yes","Bank Transfer(automatic)",6.039499,124.9607,1180.763502,2,2,4,2,3,3,5,3
"PA",3230,"Rural",2,89,41848.9,"Separated","Male","No",12.74478,5,2,0,"No","Month-to-month","Yes","No","None","Yes","Yes","No","Yes","No","Yes","No","No","No","Credit Card (automatic)",10.11079,147.4893,1010.291341,5,5,5,4,4,4,4,4
"FL",41861,"Suburban",0,46,13360.17,"Married","Male","No",14.75288,12,0,1,"No","Two Year","No","No","DSL","Yes","Yes","No","No","Yes","No","No","No","Yes","Bank Transfer(automatic)",1.602966,137.4836,792.9175185,3,4,4,4,4,4,3,4
"CA",37035,"Urban",5,76,18493.95,"Widowed","Female","Yes",11.00436,12,1,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Credit Card (automatic)",4.327078,164.9889,779.2981636,2,3,2,4,5,2,3,3
"MI",9869,"Rural",1,26,117623.7,"Widowed","Female","Yes",12.51012,11,1,0,"Yes","Month-to-month","No","No","DSL","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Credit Card (automatic)",13.44855,162.4653,1927.327764,1,1,2,3,3,1,1,2
"SD",278,"Urban",1,20,84399.36,"Widowed","Female","Yes",12.85535,11,2,0,"No","Month-to-month","No","Yes","DSL","Yes","Yes","Yes","No","No","No","Yes","No","No","Electronic Check",2.1782,152.4624,1059.664803,4,3,3,3,3,3,2,4
"NJ",41523,"Urban",2,46,51108.77,"Widowed","Female","No",10.56625,13,1,0,"No","Month-to-month","Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Mailed Check",11.65333,139.983,1622.06829,4,5,3,3,4,4,4,3
"NY",3108,"Rural",2,59,66148.83,"Separated","Male","Yes",7.718284,12,1,0,"No","Month-to-month","No","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Electronic Check",3.000251,235.1372,1374.762505,3,2,3,4,2,3,3,5
"FL",50869,"Rural",3,27,145569.5,"Separated","Male","Yes",12.87677,6,2,0,"Yes","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Electronic Check",2.258878,174.9919,755.0711809,4,5,4,5,3,4,4,5
"TN",6002,"Rural",1,77,25806.54,"Separated","Male","No",12.93786,12,0,1,"No","Two Year","No","No","None","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Bank Transfer(automatic)",5.519258,225.1786,1153.07333,3,5,4,3,4,4,5,2
"AR",3803,"Suburban",4,72,74252.79,"Widowed","Male","No",9.091339,9,1,0,"No","Two Year","No","No","Fiber Optic","Yes","No","No","Yes","No","No","No","Yes","Yes","Electronic Check",5.787415,169.9378,856.755649,3,4,5,3,4,3,3,4
"MO",1418,"Urban",4,82,16149.85,"Separated","Female","No",10.01143,15,3,0,"No","Month-to-month","No","No","None","Yes","No","No","Yes","Yes","No","No","Yes","No","Bank Transfer(automatic)",6.548905,149.9845,889.2239784,3,4,4,3,2,3,4,3
"NC",18090,"Rural",3,89,25979.07,"Never Married","Female","No",9.135272,14,1,0,"No","Two Year","Yes","Yes","DSL","No","No","Yes","Yes","No","No","No","No","Yes","Electronic Check",1.799293,117.4686,690.1873853,3,3,3,5,2,4,5,6
"ND",615,"Suburban",1,75,23086.45,"Divorced","Male","No",7.483489,13,0,0,"No","Two Year","No","Yes","None","Yes","No","No","No","No","No","No","Yes","Yes","Electronic Check",14.26274,114.9658,1355.025651,5,5,5,5,3,5,5,4
"NJ",54190,"Urban",7,28,96788.12,"Never Married","Female","No",14.27531,14,1,2,"No","Two Year","Yes","No","Fiber Optic","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Electronic Check",21.73641,182.4653,2371.07361,5,4,4,1,6,5,4,4
"PA",37067,"Suburban",4,53,67156.75,"Widowed","Female","Yes",7.163319,14,1,1,"No","Month-to-month","No","No","Fiber Optic","Yes","No","Yes","No","No","No","No","Yes","Yes","Credit Card (automatic)",1.813125,149.9598,492.3321314,3,3,3,3,3,3,3,3
"WA",2962,"Urban",3,67,5099.11,"Separated","Male","Yes",18.40676,9,0,0,"No","Month-to-month","No","Yes","None","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Bank Transfer(automatic)",17.2501,187.656,2035.111954,2,2,1,4,2,3,2,2
"OR",104,"Suburban",3,36,72663.08,"Never Married","Female","No",10.48235,11,2,0,"No","One year","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Credit Card (automatic)",13.36539,182.4433,1968.083882,4,3,3,4,3,3,3,4
"SD",801,"Urban",2,89,27157.3,"Divorced","Male","Yes",13.14802,20,1,0,"No","Month-to-month","No","No","Fiber Optic","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Credit Card (automatic)",7.311512,184.9647,943.8571029,5,3,6,4,3,4,5,3
"KS",318,"Rural",4,32,17615.71,"Widowed","Female","No",9.249754,15,0,0,"No","Month-to-month","Yes","Yes","Fiber Optic","Yes","No","No","Yes","No","No","Yes","No","Yes","Mailed Check",3.101413,159.9349,721.66293,3,3,2,6,1,5,5,5
"SC",336,"Suburban",4,65,40599.16,"Never Married","Female","No",7.813956,20,5,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","Yes","No","Yes","Yes","No","No","Bank Transfer(automatic)",6.150351,172.4441,867.6145354,3,3,3,4,4,6,4,5
"WV",100,"Suburban",0,35,38418.96,"Divorced","Male","No",11.41893,9,0,0,"No","One year","Yes","No","DSL","Yes","Yes","Yes","No","No","No","No","No","No","Electronic Check",5.97747,127.4783,1177.477272,3,4,3,4,3,4,3,4
"IA",6289,"Rural",2,61,37993.51,"Separated","Male","Yes",12.03535,14,2,1,"Yes","Two Year","Yes","No","DSL","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Electronic Check",2.266934,212.6415,1214.128652,4,4,4,3,4,5,5,3
"CA",226,"Suburban",8,83,24875.19,"Separated","Male","No",9.319944,15,1,0,"Yes","Month-to-month","No","No","None","No","No","No","No","Yes","No","Yes","No","Yes","Credit Card (automatic)",8.794478,117.4858,1182.278269,3,3,4,2,4,5,3,4
"AK",222,"Rural",0,33,29581.15,"Separated","Female","No",8.620715,14,3,0,"Yes","One year","Yes","No","None","Yes","Yes","No","No","No","No","Yes","No","Yes","Mailed Check",15.64015,137.4684,1600.603183,5,3,4,4,4,5,4,4
"KS",2781,"Suburban",2,27,52558.45,"Separated","Female","Yes",5.932274,13,0,0,"No","Month-to-month","Yes","Yes","None","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Bank Transfer(automatic)",21.13934,232.6707,2483.369395,3,3,4,2,4,2,1,2
"TN",2845,"Urban",0,63,34127.24,"Never Married","Female","Yes",13.31608,14,3,0,"No","Month-to-month","Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Bank Transfer(automatic)",7.296904,164.967,1343.619348,4,3,4,2,6,2,3,3
